Title,Author,Year,Citation count,Open access,Abstract,DOI
Particulate matter and labor supply: The role of caregiving and non-linearities,Fernando M. Aragón|Juan José Miranda|Paulina Oliva,2017,185,Open Access,,https://doi.org/10.1016/j.jeem.2017.02.008
The factor income distribution in China: 1978–2007,Chong‐En Bai|Zhenjie Qian,2010,136,NOT Open Access,,https://doi.org/10.1016/j.chieco.2010.08.004
Air pollution and life expectancy in China and beyond,C. Arden Pope|Douglas W. Dockery,2013,118,Open Access,"In PNAS, Chen et al. (1) present findings that implicate long-term exposure to air pollution as contributing to enormous loss of life expectancy (LE) in China. These results are based on a clever quasiexperimental, regression discontinuity design exploiting a Chinese policy that provided free coal for heating in cities north of the Huai River, but not in the south. A spatial discontinuity for particulate matter air pollution (PM), presumably from coal combustion, was observed. A spatial discontinuity of reduced LE of 5+ y was also observed. If true, these results suggest enormous health costs associated with air pollution in China and have important environmental, economic, and public health policy implications. However, are the results plausible? Are they coherent with other epidemiological studies?",https://doi.org/10.1073/pnas.1310925110
Mitigating the air pollution effect? The remarkable decline in the pollution-mortality relationship in Hong Kong,Chun Wai Cheung|Guojun He|Yuhang Pan,2020,113,Open Access,,https://doi.org/10.1016/j.jeem.2020.102316
Globalization and pollution: tele-connecting local primary PM 2.5 emissions to global consumption,Jing Meng|Junfeng Liu|Yuan Xu|Dabo Guan|Zhu Liu|Ye Huang|Shu Tao,2016,107,Open Access,"Globalization pushes production and consumption to geographically diverse locations and generates a variety of sizeable opportunities and challenges. The distribution and associated effects of short-lived primary fine particulate matter (PM 2.5 ), a representative of local pollution, are significantly affected by the consumption through global supply chain. Tele-connection is used here to represent the link between production and consumption activity at large distances. In this study, we develop a global consumption-based primary PM 2.5 emission inventory to track primary PM 2.5 emissions embodied in the supply chain and evaluate the extent to which local PM 2.5 emissions are triggered by international trade. We further adopt consumption-based accounting and identify the global original source that produced the emissions. We find that anthropogenic PM 2.5 emissions from industrial sectors accounted for 24 Tg globally in 2007; approximately 30% (7.2 Tg) of these emissions were embodied in export of products principally from Brazil, South Africa, India and China (3.8 Tg) to developed countries. Large differences (up to 10 times) in the embodied emissions intensity between net importers and exporters greatly increased total global PM 2.5 emissions. Tele-connecting production and consumption activity provides valuable insights with respect to mitigating long-range transboundary air pollution and prompts concerted efforts aiming at more environmentally conscious globalization.",https://doi.org/10.1098/rspa.2016.0380
Do corporate income tax cuts decrease labor share? Regression discontinuity evidence from China,Bing Li|Chang Liu|Stephen Teng Sun,2021,96,NOT Open Access,,https://doi.org/10.1016/j.jdeveco.2021.102624
Why is labour receiving a smaller share of global income?*,Mai Dao|Mitali Das|Zsóka Kóczán,2019,90,NOT Open Access,,https://doi.org/10.1093/epolic/eiaa004
Incomplete transitions to clean household energy reinforce gender inequality by lowering women’s respiratory health and household labour productivity,Poushali Maji|Zia Mehrabi|Milind Kandlikar,2020,84,NOT Open Access,,https://doi.org/10.1016/j.worlddev.2020.105309
Air pollution and brain drain: Evidence from college graduates in China,Wangyang Lai|Hong Song|Chang Wang|Huanhuan Wang,2021,80,NOT Open Access,,https://doi.org/10.1016/j.chieco.2021.101624
Escaping from pollution: the effect of air quality on inter-city population mobility in China,Can Cui|Zhen Wang|Pan He|Shanfeng Yuan|Beibei Niu|Ping Kang|Chaogui Kang,2019,77,Open Access,"Abstract China faces severe air pollution issues due to the rapid growth of the economy, causing concerns for human physical and mental health as well as behavioral changes. Such adverse impacts can be mediated by individual avoidance behaviors such as traveling from polluted cities to cleaner ones. This study utilizes smartphone-based location data and instrumental variable regression to try and find out how air quality affects population mobility. Our results confirm that air quality does affect the population outflows of cities. An increase of 100 points in the air quality index will cause a 49.60% increase in population outflow, and a rise of 1 μg m−3 in PM2.5 may cause a 0.47% rise in population outflow. Air pollution incidents can drive people to leave their cities 3 days or a week later by railway or road. The effect is heterogeneous among workdays, weekends and holidays. Our results imply that air quality management can be critical for urban tourism and environmental competitiveness.",https://doi.org/10.1088/1748-9326/ab5039
